title,description,price,location,bedrooms,bathrooms,area,is_published
Luxury Villa,Beautiful home,500000,lagos,5,4,300.0,True
Farmland,5 acres of land,20000,ogun,0,0,5000.0,True
Modern Apartment,Contemporary 2-bedroom apartment with city view,150000,lagos,2,2,120.0,True
Executive Mansion,Palatial 7-bedroom mansion with swimming pool,2500000,abuja,7,6,800.0,True
Student Lodge,Affordable accommodation near university,35000,ibadan,1,1,45.0,True
Commercial Plaza,Prime location shopping complex,5000000,lagos,0,10,2000.0,True
Beach House,Oceanfront property with private beach access,1200000,lagos,4,3,280.0,True
Duplex Home,Family-friendly duplex in quiet neighborhood,320000,kano,4,3,250.0,True
Land Plot,Residential plot in developing area,80000,kaduna,0,0,1000.0,True
Penthouse,Luxury penthouse with panoramic views,3500000,lagos,3,4,400.0,True
Warehouse,Industrial warehouse for storage or manufacturing,800000,ogun,0,2,1500.0,True
Bungalow,Single-story family home with garden,180000,enugu,3,2,180.0,True
Office Complex,Multi-story office building in business district,4200000,abuja,0,15,3000.0,True
Mini Flat,Compact apartment perfect for young professionals,65000,lagos,1,1,40.0,True
Mansion Estate,Gated community luxury home,1800000,abuja,6,5,650.0,True
Farm Estate,Agricultural land with farmhouse,450000,kwara,3,2,10000.0,True
Shop Space,Retail space on busy commercial street,250000,kano,0,1,80.0,True
Castle Home,Unique architectural design with historical features,3200000,plateau,8,7,900.0,True
